Date,Action,Symbol,Description,Quantity,Price,Fees & Comm,Amount
09/30/2024,Buy,WULF,TERAWULF INC,100,$4.7891,,-$478.91
09/30/2024,Buy to Open,AMD 10/18/2024 170.00 C,CALL ADVANCED MICRO DEVI$170 EXP 10/18/24,2,$4.15,$1.32,-$831.32
09/30/2024,Buy to Open,TSLA 10/04/2024 270.00 C,CALL TESLA INC $270 EXP 10/04/24,1,$3.74,$0.66,-$374.66
09/30/2024,Buy to Open,TSLA 10/04/2024 270.00 C,CALL TESLA INC $270 EXP 10/04/24,1,$5.95,$0.66,-$595.66
09/27/2024,Buy to Open,TSLA 10/04/2024 270.00 C,CALL TESLA INC $270 EXP 10/04/24,1,$5.00,$0.66,-$500.66
09/27/2024,Buy to Open,SPY 10/25/2024 565.00 P,PUT SPDR S&P 500 $565 EXP 10/25/24,1,$4.86,$0.66,-$486.66
09/27/2024,Buy to Open,TSLA 10/18/2024 270.00 C,CALL TESLA INC $270 EXP 10/18/24,1,$14.24,$0.66,"-$1,424.66"
09/27/2024,Sell to Close,IWM 01/17/2025 222.00 C,CALL ISHR RUSSELL 2000 $222 EXP 01/17/25,2,$11.69,$1.39,"$2,336.61"
09/27/2024,Buy to Open,SPY 10/25/2024 560.00 P,PUT SPDR S&P 500 $560 EXP 10/25/24,1,$3.39,$0.66,-$339.66
09/27/2024,Buy to Open,AMZN 10/11/2024 195.00 C,CALL AMAZON.COM INC $195 EXP 10/11/24,3,$1.48,$1.98,-$445.98
09/27/2024,Buy to Open,AMD 10/04/2024 170.00 C,CALL ADVANCED MICRO DEVI$170 EXP 10/04/24,2,$2.18,$1.32,-$437.32
09/27/2024,Buy,WULF,TERAWULF INC,100,$5.005,,-$500.50
09/27/2024,Buy to Open,IWM 01/17/2025 222.00 C,CALL ISHR RUSSELL 2000 $222 EXP 01/17/25,2,$11.72,$1.32,"-$2,345.32"
09/27/2024,Buy to Open,TSLA 10/11/2024 270.00 C,CALL TESLA INC $270 EXP 10/11/24,1,$10.50,$0.66,"-$1,050.66"
09/27/2024,Sell to Close,IWM 12/20/2024 222.00 C,CALL ISHR RUSSELL 2000 $222 EXP 12/20/24,1,$9.64,$0.69,$963.31
09/27/2024,Sell to Close,IWM 12/20/2024 222.00 C,CALL ISHR RUSSELL 2000 $222 EXP 12/20/24,1,$9.66,$0.69,$965.31
